target,slug,estrato,pred_oficial,pred_privado,brecha_ajustada
punt_global,global,Estrato 1,253.13,272.32,19.19
punt_global,global,Estrato 2,255.98,280.84,24.86
punt_global,global,Estrato 3,266.08,286.69,20.61
punt_global,global,Estrato 4,253.64,287.55,33.91
punt_global,global,Estrato 5,249.55,295.13,45.58
punt_global,global,Estrato 6,234.04,296.55,62.51
punt_matematicas,matematicas,Estrato 1,51.51,53.64,2.13
punt_matematicas,matematicas,Estrato 2,51.51,55.2,3.69
punt_matematicas,matematicas,Estrato 3,54.06,56.38,2.32
punt_matematicas,matematicas,Estrato 4,50.77,57.03,6.26
punt_matematicas,matematicas,Estrato 5,50.44,59.05,8.61
punt_matematicas,matematicas,Estrato 6,48.13,58.49,10.36
punt_ingles,ingles,Estrato 1,47.22,54.3,7.08
punt_ingles,ingles,Estrato 2,48.89,56.95,8.06
punt_ingles,ingles,Estrato 3,52.55,58.91,6.36
punt_ingles,ingles,Estrato 4,52.75,61.61,8.86
punt_ingles,ingles,Estrato 5,53.63,65.24,11.61
punt_ingles,ingles,Estrato 6,48.09,66.32,18.23
punt_lectura_critica,lectura_critica,Estrato 1,52.8,56.33,3.53
punt_lectura_critica,lectura_critica,Estrato 2,53.26,57.64,4.38
punt_lectura_critica,lectura_critica,Estrato 3,55.49,59.11,3.62
punt_lectura_critica,lectura_critica,Estrato 4,54.3,59.98,5.68
punt_lectura_critica,lectura_critica,Estrato 5,53.8,60.59,6.79
punt_lectura_critica,lectura_critica,Estrato 6,51.84,60.17,8.33
punt_c_naturales,c_naturales,Estrato 1,48.21,50.34,2.13
punt_c_naturales,c_naturales,Estrato 2,48.81,52.79,3.98
punt_c_naturales,c_naturales,Estrato 3,50.18,54.14,3.96
punt_c_naturales,c_naturales,Estrato 4,48.6,55.13,6.53
punt_c_naturales,c_naturales,Estrato 5,47.11,56.27,9.16
punt_c_naturales,c_naturales,Estrato 6,47.34,55.11,7.77
punt_sociales_ciudadanas,sociales_ciudadanas,Estrato 1,48.77,51.56,2.79
punt_sociales_ciudadanas,sociales_ciudadanas,Estrato 2,49.98,54.59,4.61
punt_sociales_ciudadanas,sociales_ciudadanas,Estrato 3,50.97,55.02,4.05
punt_sociales_ciudadanas,sociales_ciudadanas,Estrato 4,49.59,55.84,6.25
punt_sociales_ciudadanas,sociales_ciudadanas,Estrato 5,48.03,56.23,8.2
punt_sociales_ciudadanas,sociales_ciudadanas,Estrato 6,47.81,57.85,10.04
