Municipio ,Peso relativo municipal en el valor agregado departamental (%),PIB miles de millones,Poblacion ,PIB per capita,
Medellin,40.34%,401502.76,2518480,159422652,
Abejorral,0.24%,2429.08,21030,115505468,
Abriaqui,0.03%,258.49,2782,92915169,
Alejandria,0.04%,397.03,5130,77393762,
Amaga,0.41%,4038.5,32238,125271419,
Amalfi,0.66%,6577.11,28334,232127832,
Andes,0.41%,4110.16,44976,91385628,
Angelopolis,0.06%,625.49,6096,102606627,
Angostura,0.09%,851.59,12256,69483518,
Anori,0.21%,2053.81,20320,101073327,
Santafe de Antioquia,0.24%,2369.22,27882,84973101,
Anza,0.09%,903.63,7543,119797163,
Apartado,1.75%,17386.81,124339,139833922,
Arboletes,0.24%,2376.51,31150,76292456,
Argelia,0.05%,523.71,8099,64663539,
Armenia,0.04%,387.83,5286,73369277,
Barbosa,0.81%,8060.97,61506,131059897,
Belmira,0.06%,623.11,6149,101335176,
Bello,4.26%,42406.84,584062,72606744,
Betania,0.14%,1390.89,10686,130160022,
Betulia,0.16%,1626.31,16667,97576648,
Ciudad Bolivar,0.27%,2700.16,27252,99081168,
Briceno,0.07%,686.08,8041,85322721,
Buritica,0.96%,9589.73,10605,904264969,
Caceres,0.25%,2527.37,29240,86435363,
Caicedo,0.07%,739.37,8920,82889013,
Caldas,0.86%,8548.29,87460,97739424,
Campamento,0.06%,565.81,9811,57670982,
Canasgordas,0.15%,1454.15,15570,93394348,
Caracoli,0.04%,398.23,4541,87696543,
Caramanta,0.05%,501.85,4590,109335512,
Carepa,0.83%,8236.39,50303,163735562,
El Carmen de Viboral,0.58%,5738.68,67061,85574030,
Carolina,0.04%,427.64,3976,107555332,
Caucasia,1.40%,13929.47,93262,149358474,
Chigorodo,0.84%,8402.2,57067,147233953,
Cisneros,0.09%,943.75,10033,94064587,
Cocorna,0.11%,1114.68,15981,69750329,
Concepcion,0.04%,442.19,5052,87527712,
Concordia,0.28%,2824.3,22061,128022302,
Copacabana,1.04%,10369.74,88121,117676150,
Dabeiba,0.23%,2253.62,24409,92327420,
Donmatias,0.35%,3440.21,19621,175333062,
Ebejico,0.19%,1914.73,12553,152531666,
El Bagre,0.66%,6587.89,55234,119272368,
Entrerrios,0.31%,3113.21,12348,252122611,
Envigado,5.76%,57318.38,256042,223863194,
Fredonia,0.31%,3081.24,25957,118705551,
Frontino,0.15%,1537.36,21588,71213637,
Giraldo,0.04%,374.33,6189,60483115,
Girardota,1.73%,17235.92,59708,288670195,
Gomez Plata,0.26%,2562.53,10215,250859520,
Granada,0.07%,664.84,10442,63669795,
Guadalupe,0.05%,462.28,6914,66861441,
Guarne,0.98%,9787.08,62651,156215862,
Guatape,0.34%,3336.79,9368,356190222,
Heliconia,0.04%,439.67,5175,84960386,
Hispania,0.06%,578.63,5818,99455139,
Itagui,5.55%,55192.44,299320,184392757,
Ituango,0.18%,1811.2,28961,62539277,
Jardin,0.19%,1893.29,15227,124337690,
Jerico,0.22%,2140.22,14215,150560675,
La Ceja,0.68%,6722.18,71255,94339766,
La Estrella,1.53%,15182.97,80676,188196862,
La Pintada,0.12%,1204.23,8520,141341549,
La Union,0.25%,2463.64,23399,105288260,
Liborina,0.08%,815.3,10675,76374707,
Maceo,0.09%,883.31,8725,101238968,
Marinilla,1.03%,10245.58,71999,142301699,
Montebello,0.07%,647.09,6608,97925242,
Murindo,0.03%,321.65,5636,57070617,
Mutata,0.19%,1857.45,13895,133677582,
Narino,0.08%,773.63,10787,71718736,
Necocli,0.48%,4727.95,42628,110911842,
Nechi,0.18%,1780.07,28513,62430120,
Olaya,0.03%,314.68,3367,93460053,
Penol,0.38%,3745.33,23147,161806282,
Peque,0.05%,517.87,8617,60098642,
Pueblorrico,0.09%,860.32,8983,95772014,
Puerto Berrio,0.47%,4721.7,39383,119891832,
Puerto Nare,0.33%,3286.49,15293,214901589,
Puerto Triunfo,0.15%,1532.05,19661,77923300,
Remedios,0.64%,6341.39,31804,199389699,
Retiro,0.40%,4022.48,26306,152911123,
Rionegro,2.75%,27336.37,149627,182696773,
Sabanalarga,0.06%,604.6,9692,62381345,
Sabaneta,2.13%,21220.94,100767,210594143,
Salgar,0.22%,2178.91,18844,115628847,
San Andres de Cuerquia,0.05%,530.58,7389,71806740,
San Carlos,0.69%,6872.06,16827,408394842,
San Francisco,0.04%,401.46,5960,67359060,
San Jeronimo,0.16%,1628.44,17549,92793891,
San Jose de la Montana,0.03%,273.23,3924,69630479,
San Juan de Uraba,0.17%,1676.64,20094,83439833,
San Luis,0.09%,886.29,14066,63009384,
San Pedro de los milagros,0.66%,6580.58,22311,294947784,
San Pedro de Uraba,0.27%,2666.83,32182,82867131,
San Rafael,0.10%,948.36,16982,55845012,
San Roque,0.16%,1611.01,23768,67780629,
San Vicente,0.28%,2774.47,24116,115046857,
Santa Barbara,0.26%,2623.35,28829,90996913,
Santa Rosa de Osos,0.67%,6658.71,39288,169484575,
Santo Domingo,0.24%,2369.02,13254,178740003,
El Santuario,0.39%,3917.08,38877,100755717,
Segovia,0.89%,8830.77,39062,226070606,
Sonson,0.82%,8160.35,36248,225125524,
Sopetran,0.14%,1379.94,16164,85371195,
Tamesis,0.23%,2291.18,16637,137715934,
Taraza,0.23%,2319.82,28729,80748373,
Tarso,0.09%,851.79,6470,131652241,
Titiribi,0.10%,968.37,11348,85333980,
Toledo,0.06%,577.71,4905,117779817,
Turbo,1.79%,17807.43,129280,137743116,
Uramita,0.09%,851.9,7345,115983662,
Urrao,0.54%,5332.4,31559,168966064,
Valdivia,0.10%,989.58,14720,67226902,
Valparaiso,0.16%,1631.77,6667,244753262,
Vegachi,0.18%,1793.64,12114,148063398,
Venecia,0.17%,1733.09,12222,141800851,
Vigia del Fuerte,0.06%,637.7,10815,58964401,
Yali,0.06%,553.7,7729,71639281,
Yarumal,0.45%,4512.39,41983,107481362,
Yolombo,0.23%,2324.42,24454,95052752,
Yondo,0.59%,5873.79,21255,276348624,
Zaragoza,0.23%,2326.67,26283,88523761,
Antioquia,100%,995240.5133,6826125,145798753,
